plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"Let us consider a reversible Markov chain on a finite state space S with transition matrix Q. 
The Dobrushin coefficient of the Markov chain is defined by 

    D=sup{ d_TV( B_v,ω, B_v,ω'): ω, ω'∈  S^N(v), |{ u∈ N(v): ω(u)≠ω'(u)}|=1 },
 
where  d_TV is the total variation distance of 
probability distributions:

    d_TV(P_1,P_2)
    =1/2∑_s∈ S|P_1(s)-P_2(s)|
    =inf{ℙ(X≠ Y): X∼ P_1, Y∼ P_2, ℙ is a coupling of  X  and Y
    }.
",Dobrushin coefficient,Dobrushin coefficient###total variation distance###probability distributions###coupling###Markov chain###transition matrix###finite state space S###reversible Markov chain###N(v)###P_1###P_2###X###Y###,Dobrushin coefficient###total variation distance of probability distributions
"Let ν∈ I_d(S) be an invariant measure on S-valued processes on T_d, where 
S is a finite set. Fix a finite set F⊂ T_d. The measure ν induces a probability distribution on the S-colorings of F (that is, on the finite set S^V(F)). Let the configuration entropy h(F) be the entropy of this probability 
distribution.",Configuration entropy,"ν, I_d(S), S, T_d, F, S^V(F), configuration entropy, h(F)###",configuration entropy
" 
Let M = (μ_1,μ_2, …) and  N be Young diagrams. We will say that N
is obtained from M by a flip in row k , if we can obtain it from M by throwing out row number k  (it can have length 0) and insertion of another row of length l 
where l is defined by the following rule:


Start from the point (μ_k, -k) of diagram M and go along the line x - y = μ_k + k. If k-th row is longer than (k+1)-st, we should go in SW direction, if their lengths are the same – in NE direction. Stop at the first moment, when we touch the boundary of M or the coordinate line. The x-coordinate of this point will be l.

",flip in row k,flip in row k###Young diagrams###flip###row k###length l###rule###point###diagram M###line x - y = μ_k + k###SW direction###NE direction###boundary###coordinate line###x-coordinate###point l,flip in row k###l
"
A quiver is an oriented graph. It is finite, if it has finite number of vertices and finite number of arrows. Let Q be a finite quiver without oriented cycles and let k be an algebraically closed field. A representation of Q is the datum V of a finite-dimensional vector space V_i over k for each vertex i of Q
and a linear map V_α : V_i → V_j for each arrow α : i → j of Q.
 
The dimension vector of a representation V is the sequence V of dimensions V_i, i ∈ Q_0. A representation V is indecomposable if it is non zero and in each decomposition V = V' ⊕ V” we have V' = 0 or V” = 0.
A quiver is called representation-finite if it has only finitely many isomorphism classes of indecomposable representations.
",dimension vector;indecomposable;representation-finite,quiver###oriented graph###finite###vertices###arrows###representation###datum###vector space###linear map###dimension vector###indecomposable###representation-finite###isomorphism classes###,quiver###representation of Q###dimension vector of a representation V###indecomposable representation###representation-finite quiver
"
Given a graph G=(V,E), a finite set C ⊂ E is called
a contour if G∖ C has exactly one finite connected
component, and it is minimal with respect to this property. That is, for
all edges e∈ C the graph (V,E∖(C∖ e)) does not
have a finite connected component.

If C is a contour in G then we denote by G_C=(I_C,E_C)
the unique finite connected component of G∖ C.
",contour,contour###graph###finite connected component###minimal###edges###vertices###grafting###interval###,"contour###G_C=(I_C,E_C)"
"Let G be a (connected, simply-connected) nilpotent Lie group. By a filtration G_ = (G_i)_i ∈ of degree ≤ d we mean a nested sequence G ⊇ G_0⊇ G_1⊇ G_2⊇…⊇ G_d+1 = {𝕀} with the property that [G_i, G_j] ⊆ G_i+j for all i, j ≥ 0, adopting the convention that G_i={𝕀} for all i>d. By a polynomial sequence adapted to G_ we mean a map g : → G such that ∂_h_i…∂_h_1 g ∈ G_i for all i ≥ 0 and h_1,…, h_i ∈, where ∂_h g(n) := g(n+h) g(n)^-1. Write (_→ G_) for the collection of all such polynomial sequences.

Let Γ≤ G be a lattice in G (i.e. a discrete and cocompact subgroup), so that the quotient G/Γ is a nilmanifold, and assume that each of the G_i are rational subgroups (i.e. Γ_i := Γ∩ G_i is a cocompact subgroup of G_i). We refer to the pair G/Γ = (G/Γ,G_) as a filtered nilmanifold .  A polynomial orbit : → G/Γ is a sequence of the form (n) := g(n) Γ, where g ∈(_→ G_); we let (_→ (G/Γ)_) denote the space of all such polynomial orbits.
If F : G/Γ→ is a 1-bounded, Lipschitz function then the sequence F ∘ = (F(g(n)Γ))_n ∈ is called a polynomial nilsequence of degree d.",Polynomial nilsequence,nilpotent Lie group###filtration###degree###nested sequence###polynomial sequence###adapted###map###rational subgroups###lattice###discrete###cocompact subgroup###quotient###nilmanifold###filtered nilmanifold###polynomial orbit###1-bounded###Lipschitz function###polynomial nilsequence###,filtration G_ ### polynomial sequence adapted to G_ ### lattice ### filtered nilmanifold ### polynomial orbit ### polynomial nilsequence of degree d
"  Let G/Γ be a standard nilmanifold, and let D ∈^+ be standard.  


  * We let (G/Γ→^D) be the space of standard Lipschitz functions F: G/Γ→^D.  (Here we endow the compact manifold G/Γ with a smooth metric in an arbitrary fashion; the exact choice of metric is not relevant.)

  * We let ((G/Γ) →^D) be the space of bounded limit functions F: (G/Γ) →^D whose Lipschitz constant is bounded (or equivalently, F is an ultralimit of uniformly bounded functions F_: G/Γ→^D with uniformly bounded Lipschitz constant).

  * We let ((G/Γ) →S^2D-1) be the functions in ((G/Γ) →^D) that take values in the (limit) complex sphere

    S^2D-1 := { z ∈^D: |z| = 1}.


  * We write 
    ((G/Γ) →^ω) := ⋃_D ∈^+((G/Γ) →^D)
 and 
    ((G/Γ) →S^ω) := ⋃_D ∈^+((G/Γ) →S^2D-1).


We will often abbreviate these spaces as (G/Γ) or ((G/Γ)) when the range of the functions involved is not relevant to the discussion.",Lipschitz functions,nilmanifold###standard Lipschitz functions###compact manifold###smooth metric###bounded limit functions###Lipschitz constant###ultralimit###uniformly bounded functions###limit complex sphere###complex sphere###functions###range###discussion###,(G/Γ→^D) ### ((G/Γ) →^D) ### ((G/Γ) →S^2D-1) ### ((G/Γ) →^ω) ### ((G/Γ) →S^ω)
"  Let s ≥ 0 be standard.  A nilsequence of degree ≤ s is any limit function ψ: → of the form ψ(n) := F(g(n) Γ), where G/Γ = (G/Γ,G_) is a standard filtered nilmanifold of degree ≤ s, g: → G is a limit polynomial sequence (i.e. an ultralimit of polynomial sequences g_: → G), and F ∈((G/Γ) →).",Nilsequence,nilsequence###degree###limit function###filtered nilmanifold###limit polynomial sequence###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultral,nilsequence of degree ≤ s###standard filtered nilmanifold of degree ≤ s###limit polynomial sequence
"  Let d ≥ 0 be a standard integer.  A nilcharacter χ of degree d on [N] is a nilsequence χ(n) = F((n)) = F(g(n) Γ) on [N] of degree ≤ d, where the function F ∈((G/Γ) →^ω) obeys two additional properties:


  * F ∈((G/Γ) →S^ω) (thus |F|=1 pointwise, and hence |χ|=1 pointwise also); and

  * F( g_d x ) = e( η(g_d) ) F(x) for all x ∈ G/Γ and g_d ∈ G_d, where η: G_d→ is a continuous standard homomorphism which maps Γ_d to the integers (or equivalently, η is an element of the Pontryagin dual of the torus G_d/Γ_d).  We call η the vertical frequency of F.

The space of all nilcharacters of degree d on [N] is denoted Ξ^d([N]).",Nilcharacter,nilcharacter###degree###nilsequence###function###standard integer###nilcharacters###space###denoted###,nilcharacter ### vertical frequency ### Ξ^d([N])
"  Let d ≥ 0.  Two nilcharacters χ, χ' ∈Ξ^d([N]) of degree d are equivalent if χ⊗χ' is equal on [N] to a nilsequence of degree ≤ d-1.  This can be shown to be an equivalence relation (see Lemma <ref>); the equivalence class of a nilcharacter χ will be called the symbol of χ and is denoted [χ]_^d([N]).  The space of all such symbols will be denoted ^d([N]); we will show later (see Lemma <ref>) that this is an abelian multiplicative group.",Symbol,"nilcharacters, Ξ^d([N]), degree, equivalent, ⊗, nilsequence, equivalence relation, symbol, [χ]_^d([N]), space, abelian multiplicative group###",symbol of χ###nilcharacters###abelian multiplicative group
"  An ordering I = (I, ≺, +, 0) is a set I equipped with a partial ordering ≺, a binary operation +: I × I → I, and a distinguished element 0 ∈ I with the following properties:


  * The operation + is commutative and associative, and has 0 as the identity element.

  * The partial ordering ≺ has 0 as the minimal element.

  * If i, j ∈ I are such that i ≺ j, then i + k ≺ j+k for all k ∈ I.

  * For every d ∈ I, the initial segment { i ∈ I: i ≺ d } is finite.

A finite downset in I is a finite subset J of I with the property that j ∈ J whenever j ∈ I and j ≺ i for some i ∈ J.",Ordering,ordering###partial ordering###binary operation###identity element###minimal element###finite downset###initial segment,ordering###finite downset
"
Suppose that H and G are I-filtered groups with H = (H,+) abelian[This is not actually a necessary assumption; see Appendix <ref>.  However, in the main body of the paper we will only be concerned with polynomial maps on additive domains.]. Then for any map g : H → G we define the derivative 

    ∂_h g(n) := g(n+h) g(n)^-1.
 
We say that g : H → G is polynomial if

    ∂_h_1…∂_h_m g (n) ∈ G_i_1 + … + i_m

for all m ≥ 0, all i_1,…, i_m ∈ I and all h_j ∈ H_i_j for j = 1,…, m, and for all n ∈ H_0. 

We denote by (H_I → G_I) the space of all polynomial maps from H_I to G_I.  As usual, we use (H_I → G_I) to denote the space of all limit polynomial maps from H_I to G_I (i.e. ultralimits of polynomial maps in (H_I → G_I)).",Polynomial map,polynomial maps###derivative###I-filtered groups###abelian###H###G###∂_h g(n)###∂_h_1…∂_h_m g (n)###G_i_1 + … + i_m###H_I###G_I###limit polynomial maps###ultralimits###,derivative###polynomial maps###limit polynomial maps
"  A dimension vector is a tuple 
    D⃗ = (D_1,…,D_s-1) ∈^s-1
 of standard natural numbers.  Given a dimension vector, we define the universal nilpotent group G^D⃗ = G^D⃗, ≤ (s-1,r_*) of degree-rank (s-1,r_*) to be the Lie group generated by formal generators e_i,j for 1 ≤ i ≤ s-1 and 1 ≤ j ≤ D_i, subject to the following constraints:


  * Any (m-1)-fold iterated commutator of e_i_1,j_1,…,e_i_m,j_m with i_1+…+i_m ≥ s is trivial.

  * Any (m-1)-fold iterated commutator of e_i_1,j_1,…,e_i_m,j_m with i_1+…+i_m = s-1 and m ≥ r+1 is trivial.

We give this group a degree-rank filtration (G^D⃗_(d,r))_(d,r) ∈ by defining G^D⃗_(d,r) to be the Lie group generated by (m-1)-fold iterated commutators of e_i_1,j_1,…,e_i_m,j_m with 1 ≤ i_l ≤ s-1 and 1 ≤ j_l ≤ D_i_l for all 1 ≤ l ≤ n for which either i_1+…+i_m > d, or i_1+…+i_m=d and m ≥ r.  It is not hard to verify that this is indeed a filtration of degree-rank ≤ (s-1,r_*).  We then let Γ^D⃗ be the discrete group generated by the e_i,j with 1 ≤ i ≤ s-1 and 1 ≤ j ≤ D_i, and refer to G^D⃗/Γ^D⃗ as the universal nilmanifold with dimension vector D⃗.  

A universal vertical frequency at dimension vector D⃗ is a continuous homomorphism η: G^D⃗_(s-1,r_*)→ which sends Γ^D⃗_(s-1,r_*) to the integers (i.e. a filtered homomorphism from G^D⃗_(s-1,r_*) / Γ^D⃗_(s-1,r_*) to ).",Universal nilmanifold,dimension vector###universal nilpotent group###degree-rank###Lie group###formal generators###iterated commutator###trivial###filtration###discrete group###universal nilmanifold###vertical frequency###continuous homomorphism###filtered homomorphism###integers###,dimension vector###universal nilpotent group###degree-rank filtration###universal nilmanifold###universal vertical frequency
"  Let χ∈ L^∞[N] be a nilcharacter of degree-rank ≤ (s-1,r_*).  A representation of χ is a collection of the following data:


  * A filtered nilmanifold G/Γ of degree-rank ≤ (s-1,r_*);

  * A filtered nilmanifold G_0/Γ_0 of degree-rank ≤ (s-1,r_*-1);

  * A function F ∈((G/Γ× G_0/Γ_0) →S^ω);

  * Polynomial orbits ∈(_→ (G/Γ)_) and _0 ∈(_→ (G_0/Γ_0)_);

  * A dimension vector D⃗ = (D_1,…,D_s-1) ∈^s-1;

  * A universal vertical frequency η: G^D⃗_(s-1,r_*)→ at dimension D⃗ on the universal nilmanifold G^D⃗/Γ^D⃗ of degree-rank (s-1,r_*);

  * A filtered homomorphism ϕ: G^D⃗/Γ^D⃗→ G/Γ (see Definition <ref>);

  * A horizontal frequency vector = (ξ_i,j)_1 ≤ i ≤ s-1; 1 ≤ j ≤ D_i of frequencies ξ_i,j∈.

which obeys the following properties:


  * For all n ∈ [N], one has

    χ(n) = F( (n), _0(n)).


  * For every t ∈ G^D⃗_(s-1,r_*), all x ∈ G/Γ, and x_0 ∈ G_0/Γ_0, one has

    F( ϕ(t) x, x_0 ) = e( η(t) ) F(x,x_0).


  * For every 1 ≤ i ≤ s-1, one has

    _i() =  π__i(G/Γ)(ϕ( ∏_j=1^D_i e_i,j^ξ_i,j )),

where π__i(G/Γ): G_i→_i(G/Γ) is the projection map; observe that the right-hand side is well-defined even though ξ_i,j is only defined modulo 1.

We call the triplet (D⃗, , η) a total frequency representation of the nilcharacter χ.",Representation,nilcharacter###degree-rank###filtered nilmanifold###function###Polynomial orbits###dimension vector###universal vertical frequency###filtered homomorphism###horizontal frequency vector###total frequency representation,total frequency representation of the nilcharacter χ
